instanceID,village,respondent_wall_type,items_owned
uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d,God,burntbricks,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone
uuid:d1005274-bf52-4e79-8380-3350dd7c2bac,God,burntbricks,bicycle;cow_plough;solar_torch
uuid:6570a7d0-6a0b-452c-aa2e-922500e35749,God,burntbricks,
uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9,God,muddaub,radio
uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de,Ruaca,burntbricks,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone
uuid:661457d3-7e61-45e8-a238-7415e7548f82,Ruaca,burntbricks,radio;table;sofa_set;mobile_phone
uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee,Ruaca,burntbricks,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone
uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e,Ruaca,burntbricks,radio;cow_plough;table;mobile_phone
uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d,Ruaca,burntbricks,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone
uuid:1de53318-a8cf-4736-99b1-8239f8822473,Ruaca,muddaub,
uuid:adcd7463-8943-4c67-b25f-f72311409476,Ruaca,burntbricks,motorcyle;bicycle;radio;table;mobile_phone
uuid:59341ead-92be-45a9-8545-6edf9f94fdc6,Ruaca,muddaub,bicycle;radio;mobile_phone
uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8,Ruaca,muddaub,
uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf,Ruaca,muddaub,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone
uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758,Ruaca,muddaub,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone
uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4,Chirodzo,burntbricks,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce,Chirodzo,muddaub,bicycle;cow_plough
uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1,Chirodzo,sunbricks,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone
uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd,Chirodzo,burntbricks,bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone
uuid:81309594-ff58-4dc1-83a7-72af5952ee08,God,muddaub,bicycle;radio;cow_plough;solar_panel;table;mobile_phone
uuid:c0fb6310-55af-4831-ae3d-2729556c3285,God,muddaub,
uuid:c0b34854-eede-4e81-b183-ef58a45bfc34,God,burntbricks,bicycle;radio;cow_plough;solar_panel;table;mobile_phone
uuid:b3ba34d8-eea1-453d-bc73-c141bcbbc5e5,God,muddaub,motorcyle;bicycle;radio;cow_plough;table
uuid:e3a1dd8a-1bda-428c-a014-2b527f11ae64,God,sunbricks,mobile_phone
uuid:b4dff49f-ef27-40e5-a9d1-acf287b47358,Chirodzo,muddaub,cow_plough;mobile_phone
uuid:f9fadf44-d040-4fca-86c1-2835f79c4952,Chirodzo,muddaub,radio;solar_torch
uuid:e3554d22-35b1-4fb9-b386-dd5866ad5792,Chirodzo,muddaub,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:35f297e0-aa5d-4149-9b7b-4965004cfc37,Chirodzo,burntbricks,motorcyle;computer;television;sterio;solar_panel;solar_torch;table;mobile_phone
uuid:2d0b1936-4f82-4ec3-a3b5-7c3c8cd6cc2b,Chirodzo,muddaub,solar_torch;mobile_phone
uuid:e180899c-7614-49eb-a97c-40ed013a38a2,Chirodzo,muddaub,radio
